"run","tick","OriginOfConsumedResouces"
1,1.0,"Northern Africa:Northern America|324999.76;South America|54498.24;Central Asia|117311.52;Eastern Europe|668635.2;Northern Europe|114810.24;Western Europe|508992.83;Oceania|164250.28;Russian Federation|137081.2;India|48179.4;Pakistan|48342.28;United States of America|632036.8;China|313036.36;"
1,1.0,"Russian Federation:Northern America|526483.12;South America|54498.24;Central Asia|190038.82;Eastern Europe|1083163.1;Northern Europe|185985.84;Western Europe|824548.7;Oceania|266074.64;Russian Federation|271444.4;India|78047.85;Pakistan|48342.28;United States of America|1023878.95;China|313036.36;"
1,1.0,"Northern Europe:Northern America|41396.12;South America|54498.24;Central Asia|67135.86;Eastern Europe|178213.5;Northern Europe|474799.04;Western Europe|112053.93;Oceania|21460.94;Russian Federation|137081.2;India|212951.25;Pakistan|48342.28;United States of America|114878.6;China|313036.36;"
1,1.0,"Western Europe:Northern America|41396.12;South America|54498.24;Central Asia|67135.86;Eastern Europe|178213.5;Northern Europe|72800.0;Western Europe|0.0;Oceania|21460.94;Russian Federation|137081.2;India|212951.25;Pakistan|48342.28;United States of America|114878.6;China|313036.36;"
1,1.0,"Middle Africa:Northern America|17783.4;South America|54498.24;Central Asia|6420.02;Eastern Europe|36587.1;Northern Europe|6282.6;Western Europe|27853.75;Oceania|8989.16;Russian Federation|137081.2;India|2636.7;Pakistan|48342.28;United States of America|34587.1;China|313036.36;"
1,1.0,"Western Africa:Northern America|49985.68;South America|54498.24;Central Asia|18044.84;Eastern Europe|102840.5;Northern Europe|17660.04;Western Europe|78286.64;Oceania|25261.2;Russian Federation|137081.2;India|7411.95;Pakistan|48342.28;United States of America|97209.1;China|313036.36;"
1,1.0,"Caribbean:Northern America|45516.52;South America|54498.24;Central Asia|16429.72;Eastern Europe|93640.0;Northern Europe|16078.68;Western Europe|71280.67;Oceania|23005.02;Russian Federation|137081.2;India|6749.45;Pakistan|48342.28;United States of America|88514.5;China|313036.36;"
1,1.0,"Eastern Asia:Northern America|237686.68;South America|54498.24;Central Asia|85794.2;Eastern Europe|489005.4;Northern Europe|83965.0;Western Europe|372248.66;Oceania|120121.54;Russian Federation|137081.2;India|35236.45;Pakistan|48342.28;United States of America|462238.0;China|313036.36;"
1,1.0,"Southern Europe:Northern America|88066.48;South America|54498.24;Central Asia|31788.9;Eastern Europe|181186.2;Northern Europe|31111.48;Western Europe|137924.15;Oceania|44508.28;Russian Federation|137081.2;India|13056.85;Pakistan|48342.28;United States of America|171269.0;China|313036.36;"
1,1.0,"South-Eastern Asia:Northern America|146466.84;South America|54498.24;Central Asia|52867.42;Eastern Europe|301330.1;Northern Europe|51739.64;Western Europe|229385.16;Oceania|74022.52;Russian Federation|137081.2;India|21711.5;Pakistan|48342.28;United States of America|284834.45;China|313036.36;"
1,1.0,"Southern Africa:Northern America|15677.12;South America|54498.24;Central Asia|5658.1;Eastern Europe|32253.0;Northern Europe|5539.24;Western Europe|24551.62;Oceania|7924.7;Russian Federation|137081.2;India|2325.75;Pakistan|48342.28;United States of America|30488.65;China|313036.36;"
1,1.0,"Eastern Africa:Northern America|44311.52;South America|54498.24;Central Asia|15996.36;Eastern Europe|91163.1;Northern Europe|15653.36;Western Europe|69396.46;Oceania|22397.14;Russian Federation|137081.2;India|6568.9;Pakistan|48342.28;United States of America|86172.95;China|313036.36;"
1,1.0,"Central America:Northern America|51077.12;South America|54498.24;Central Asia|18436.9;Eastern Europe|105077.2;Northern Europe|18043.2;Western Europe|79991.21;Oceania|25814.74;Russian Federation|137081.2;India|7572.75;Pakistan|48342.28;United States of America|99324.0;China|313036.36;"
1,1.0,"South America:Northern America|66329.16;South America|107916.0;Central Asia|23942.9;Eastern Europe|136462.4;Northern Europe|23433.12;Western Europe|103883.26;Oceania|33524.24;Russian Federation|137081.2;India|9832.5;Pakistan|48342.28;United States of America|128993.15;China|313036.36;"
1,1.0,"Central Asia:Northern America|41396.12;South America|54498.24;Central Asia|351392.34;Eastern Europe|178213.5;Northern Europe|72800.0;Western Europe|112053.93;Oceania|21460.94;Russian Federation|137081.2;India|212951.25;Pakistan|48342.28;United States of America|114878.6;China|313036.36;"
1,1.0,"Northern America:Northern America|0.0;South America|54498.24;Central Asia|67135.86;Eastern Europe|178213.5;Northern Europe|72800.0;Western Europe|112053.93;Oceania|21460.94;Russian Federation|137081.2;India|212951.25;Pakistan|48342.28;United States of America|114878.6;China|313036.36;"
1,1.0,"Western Asia:Northern America|61854.2;South America|54498.24;Central Asia|22327.36;Eastern Europe|127251.7;Northern Europe|21850.32;Western Europe|96869.24;Oceania|31259.28;Russian Federation|137081.2;India|9171.45;Pakistan|48342.28;United States of America|120287.5;China|313036.36;"
